Word,DensityAtRadius0.550,DensityAtRadius0.525,DensityAtRadius0.500,DensityAtRadius0.475,DensityAtRadius0.450,DensityAtRadius0.425,DensityAtRadius0.400,DensityAtRadius0.375,DensityAtRadius0.350,SpearmanAtRadius0.550,SpearmanAtRadius0.525,SpearmanAtRadius0.500,SpearmanAtRadius0.475,SpearmanAtRadius0.450,SpearmanAtRadius0.425,SpearmanAtRadius0.400,SpearmanAtRadius0.375,SpearmanAtRadius0.350,IsNeologism
ani,1,2,3,19,74,245,690,1493,2834,-0.1286324356461878,0.126557718942217,0.21611443586818957,0.09177534548382159,0.21269369447910044,0.23508328234472786,0.20481682636870485,0.20296031647419663,0.19989807661163778,0
parvenu,5,9,22,58,148,349,782,1603,2909,-0.019482825971350825,0.029566303905546747,-0.14696898392707694,0.04265224118441484,0.11772567952842573,0.1514482739370643,0.12770223165121974,0.15122556562362907,0.1540564768301567,0
meme,1431,1608,1813,2040,2339,2732,3336,4236,5000,-0.0684959465166248,-0.053246206692066325,-0.04229045545239028,-0.030381388314650124,-0.01937578923012523,-0.003729358466757145,0.018734611385582606,0.04753874070254107,0.06512599533777255,0
intellectuality,377,688,1123,1745,2541,3466,4633,5000,5000,0.2212357612062813,0.21960707521448763,0.22691578734013496,0.22176299894889112,0.21984955379698284,0.2086778572561911,0.20584746795637623,0.2037859901136561,0.2037859901136561,0
disavowal,45,125,276,609,1127,1938,2984,4267,5000,0.21137941596497353,0.2189720385177313,0.2660342357167895,0.26131461816443957,0.252198987965614,0.2491769118428823,0.24856698819774156,0.24198215127394973,0.23858901287838835,0
deadness,91,223,433,788,1306,2069,3060,4336,5000,0.18919630360069695,0.18312307955178633,0.2103967415963844,0.1895997745211773,0.17237744483813108,0.17637847158639497,0.1769934598968992,0.17649101252342803,0.17999275701653072,0
music-room,65,126,236,403,723,1195,1940,3075,4608,0.2101732794760515,0.1989182297913046,0.22448087351714074,0.21249234689804594,0.2096589863650663,0.2060444313604472,0.20506480944510688,0.2092097431530423,0.20284403408047436,0
croup,63,106,166,253,393,577,890,1479,2617,0.4039048072226033,0.4315023459908099,0.4606037124285911,0.468540106138637,0.45978441450718593,0.42903312052713855,0.3810783287344473,0.35219368994349814,0.30487358329973024,0
lege,19,56,135,321,611,1083,1747,2648,3848,0.15876921807729635,0.031477299058669556,0.008693478804081155,-0.010843592757538571,-0.02397953658408681,-0.008204529720414157,0.024808973204764852,0.06549010804894659,0.11175347044410053,0
interregnum,2,10,36,114,310,723,1500,2662,4181,0.19695696900661466,0.22683182875821442,0.10014182464996468,0.21172767212990481,0.24024554262118336,0.2647711432208549,0.2729079201092388,0.2658403333351934,0.2662273980122773,0
alchemist,6,13,40,103,229,506,1061,1989,3542,-0.0071897437672092486,-0.20590044902832907,-0.03955879441033935,0.0541035031698454,0.09170144152824497,0.1473777263627602,0.1733738784685832,0.20128885678133904,0.2103956635563961,0
